East Stroudsburg_PA,East Stroudsburg,PA,164722,1
Bloomington-Normal_IL,Bloomington-Normal,IL,164209,1
Yuba City_CA,Yuba City,CA,164138,1
Albany_GA,Albany,GA,164069,1
Panama City-Lynn Haven_FL,Panama City-Lynn Haven,FL,163984,1
Waterloo-Cedar Falls_IA,Waterloo-Cedar Falls,IA,163329,1
Jackson_MI,Jackson,MI,163006,1
Jacksonville_NC,Jacksonville,NC,162745,1
Columbia_MO,Columbia,MO,162314,1
Oshkosh-Neenah_WI,Oshkosh-Neenah,WI,162154,1
El Centro_CA,El Centro,CA,161867,1
Parkersburg-Marietta-Vienna_WV-OH,Parkersburg-Marietta-Vienna,WV-OH,160656,1
Janesville_WI,Janesville,WI,159623,1
Niles-Benton Harbor_MI,Niles-Benton Harbor,MI,159589,1
Abilene_TX,Abilene,TX,159343,1
Eau Claire_WI,Eau Claire,WI,157808,1
Blacksburg-Christiansburg-Radford_VA,Blacksburg-Christiansburg-Radford,VA,157614,1
Thomasville-Lexington_NC,Thomasville-Lexington,NC,156530,1
Vineland-Millville-Bridgeton_NJ,Vineland-Millville-Bridgeton,NJ,155544,1
Pueblo_CO,Pueblo,CO,154538,1
Bend_OR,Bend,OR,154028,1
Ottawa-Streator_IL,Ottawa-Streator,IL,153666,1
Monroe_MI,Monroe,MI,153608,1
Punta Gorda_FL,Punta Gorda,FL,152814,1
Dover_DE,Dover,DE,152255,1
Pascagoula_MS,Pascagoula,MS,152035,1
Statesville-Mooresville_NC,Statesville-Mooresville,NC,151445,1
Alexandria_LA,Alexandria,LA,149837,1
Billings_MT,Billings,MT,149657,1
Decatur_AL,Decatur,AL,149279,1
Hanford-Corcoran_CA,Hanford-Corcoran,CA,148875,1
Bangor_ME,Bangor,ME,148784,1
Concord_NH,Concord,NH,148274,1
Wichita Falls_TX,Wichita Falls,TX,148148,1
Pottsville_PA,Pottsville,PA,147269,1
Iowa City_IA,Iowa City,IA,147038,1
Madera_CA,Madera,CA,146513,1
Jefferson City_MO,Jefferson City,MO,145686,1
Rocky Mount_NC,Rocky Mount,NC,145596,1
Wheeling_WV-OH,Wheeling,WV-OH,145454,1
Burlington_NC,Burlington,NC,145360,1
Johnstown_PA,Johnstown,PA,144995,1
State College_PA,State College,PA,144658,1
Florence-Muscle Shoals_AL,Florence-Muscle Shoals,AL,143149,1
Santa Fe_NM,Santa Fe,NM,142955,1
Sioux City_IA-NE-SD,Sioux City,IA-NE-SD,142794,1
Traverse City_MI,Traverse City,MI,142075,1
Kahului-Wailuku_HI,Kahului-Wailuku,HI,141783,1
Chambersburg_PA,Chambersburg,PA,141665,1
Springfield_OH,Springfield,OH,140477,1
Homosassa Springs_FL,Homosassa Springs,FL,140169,1
Dothan_AL,Dothan,AL,139499,1
Grand Junction_CO,Grand Junction,CO,139082,1
Hattiesburg_MS,Hattiesburg,MS,138144,1
Salisbury_NC,Salisbury,NC,137383,1
Battle Creek_MI,Battle Creek,MI,136615,1
Morristown_TN,Morristown,TN,134596,1
Coeur d'Alene_ID,Coeur d'Alene,ID,134442,1
Texarkana_TX-AR,Texarkana,TX-AR,134215,1
Dalton_GA,Dalton,GA,134043,1
Jamestown-Dunkirk-Fredonia_NY,Jamestown-Dunkirk-Fredonia,NY,133945,1
St. George_UT,St. George,UT,133791,1
Napa_CA,Napa,CA,132565,1
Tupelo_MS,Tupelo,MS,132245,1
Sebastian-Vero Beach_FL,Sebastian-Vero Beach,FL,131837,1
